Price,Date_Place,Brand,Year,New_Car,Engine,Km,Transmission,Gas
€7.800,Paphos,Smart,2013,City ,"1,0L",37000,Automatic,Petrol
€30.000,Famagusta,Maserati,2014,Ghibli ,"3,0L",174000,Automatic,Diesel
€13.000,Lefkosia,Hyundai,2019,i20 ,"1,0L",92348,Automatic,Petrol
€18.200,Limassol,Infiniti,2017,Q50 ,"2,2L",46000,Automatic,Diesel
€24.900,Lefkosia,Audi,2015,Q3 ,"2,0L",85000,Automatic,Diesel
€360.000,Lefkosia,Ferrari,2021,F8 Tributo ,"3,9L",2414,Automatic,Petrol
€81.500,Lefkosia,Maserati,2023,Grecale ,"2,0L",5,Automatic,Hybrid
€72.000,Lefkosia,Maserati,2023,Grecale ,"2,0L",5,Automatic,Plug-In
€5.900,Limassol,Mercedes-Benz,2009,B-Class ,"1,5L",170000,Automatic,Petrol
€67.000,Lefkosia,Land,2020,Rover Range Rover Sport ,"3,0L",41725,Automatic,Diesel
€34.000,Lefkosia,Mercedes-Benz,2019,C-Class ,"2,0L",33863,Automatic,Diesel
€65.000,Lefkosia,Mercedes-Benz,2019,GLE-Class ,"2,9L",54653,Automatic,Diesel
€44.000,Lefkosia,BMW,2019,X4 ,"2,0L",25689,Automatic,Diesel
€55.000,Lefkosia,Ford,2021,Mustang Mach-E Elec,tric,22550,Automatic,Electric
€43.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",23263,Automatic,Diesel
€64.000,Lefkosia,Mercedes-Benz,2019,GLE-Class ,"2,0L",49979,Automatic,Diesel
€63.000,Lefkosia,Mercedes-Benz,2019,GLE-Class ,"2,9L",63198,Automatic,Diesel
€63.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"2,0L",30785,Automatic,Diesel
€40.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",45481,Automatic,Diesel
€44.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",26682,Automatic,Diesel
€61.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"2,0L",58226,Automatic,Diesel
€63.000,Lefkosia,Mercedes-Benz,2019,GLE-Class ,"2,9L",9479,Automatic,Diesel
€56.000,Lefkosia,Mercedes-Benz,2021,GLC-Class ,"2,0L",10367,Automatic,Hybrid
€93.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",11125,Automatic,Diesel
€69.000,Lefkosia,BMW,2023,4-Series ,"2,0L",33,Automatic,Hybrid
€403.000,Lefkosia,Lamborghini,2023,Urus ,"4,0L",10,Automatic,Petrol
€84.500,Lefkosia,Maserati,2023,Grecale ,"2,0L",10,Automatic,Hybrid
€110.000,Lefkosia,Maserati,2023,Levante ,"2,0L",10,Automatic,Hybrid
€64.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"2,0L",34980,Automatic,Diesel
€42.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",21269,Automatic,Diesel
€266.000,Lefkosia,Bentley,2023,Bentayga ,"4,0L",46,Automatic,Petrol
€65.000,Lefkosia,Maserati,2019,Ghibli ,"3,0L",14484,Automatic,Petrol
€72.000,Lefkosia,Mercedes-Benz,2021,E-Class ,"2,0L",14442,Automatic,Plug-In
€21.900,Limassol,Nissan,2017,Navara ,"2,3L",90000,Automatic,Diesel
€65.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"2,0L",47000,Automatic,Diesel
€48.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",47012,Automatic,Hybrid
€51.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",53832,Automatic,Diesel
€46.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",17685,Automatic,Diesel
€13.900,Limassol,Toyota,2018,Vitz ,"1,3L",29200,Automatic,Petrol
€43.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",40406,Automatic,Diesel
€77.000,Lefkosia,BMW,2022,X4 ,"2,0L",35,Automatic,Hybrid
€12.900,Limassol,Mitsubishi,2020,Mirage ,"1,2L",2657,Automatic,Petrol
€52.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",39316,Automatic,Hybrid
€111.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",82,Automatic,Diesel
€80.000,Lefkosia,Mercedes-Benz,2022,GLC-Class ,"2,0L",53,Automatic,Diesel
€155.000,Lefkosia,Land,2022,Rover Defender ,"5,0L",160000,Automatic,Petrol
€72.000,Lefkosia,Land,2022,Rover Range Rover Velar ,"2,0L",8466,Automatic,Hybrid
€33.000,Lefkosia,Mercedes-Benz,2018,GLA-Class ,"1,6L",36580,Automatic,Petrol
€263.000,Lefkosia,Bentley,2022,Azure ,"4,0L",41,Automatic,Petrol
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,10,Automatic,Electric
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,10,Automatic,Electric
€280.000,Lefkosia,Bentley,2022,Azure ,"4,0L",37,Automatic,Petrol
€49.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",22120,Automatic,Diesel
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,40,Automatic,Electric
€88.000,Lefkosia,Tesla,2022,Model Y Elec,tric,40,Automatic,Electric
€99.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",1862,Automatic,Diesel
€46.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",41097,Automatic,Diesel
€43.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",33979,Automatic,Diesel
€41.000,Lefkosia,Mercedes-Benz,2019,GLC-Class ,"2,0L",32500,Automatic,Diesel
€51.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",17142,Automatic,Diesel
€92.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"3,0L",46587,Automatic,Hybrid
€55.000,Lefkosia,Land,2014,Rover Range Rover ,"3,0L",99425,Automatic,Petrol
€93.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",6974,Automatic,Diesel
€101.000,Lefkosia,Mercedes-Benz,2022,GLE-Class ,"2,9L",22,Automatic,Diesel
€101.000,Lefkosia,Mercedes-Benz,2023,GLE-Class ,"2,9L",22,Automatic,Diesel
€25.900,Larnaca,BMW,2018,X1 ,"2,0L",120000,Automatic,Diesel
€50.000,Limassol,BMW,2017,7-Series ,"3,0L",112500,Automatic,Diesel
€22.950,Limassol,Mazda,2020,CX-3 ,"1,5L",37000,Automatic,Petrol
€28.800,Lefkosia,Land,2016,Rover Discovery Sport ,"2,0L",84800,Manual,Diesel
€123.500,Lefkosia,BMW,2022,M4 ,"3,0L",4500,Automatic,Petrol
€9.400,Paphos,Citroen,2015,C3 ,"1,2L",52475,Automatic,Petrol
€15.500                    ,Limassol,Nissan,2001,Patrol ,"3,0L",103000,Automatic,Diesel
€90.500,Limassol,Mercedes-Benz,2019,GLC-Class ,"4,0L",39000,Automatic,Petrol
€85.000,Lefkosia,Mercedes-Benz,2023,E-Class ,"2,0L",27,Automatic,Hybrid
€201.000,Lefkosia,Mercedes-Benz,2023,SL-Class ,"4,0L",18,Automatic,Petrol
€255.000,Lefkosia,Bentley,2023,Bentayga ,"3,0L",18,Automatic,Plug-In
€459.000,Lefkosia,Lamborghini,2023,Urus ,"4,0L",18,Automatic,Petrol
€275.000,Lefkosia,Mercedes-Benz,2022,G-Class ,"4,0L",80,Automatic,Petrol
€32.000,Lefkosia,BMW,2019,4-Series ,"2,0L",32351,Automatic,Petrol
€60.000,Lefkosia,BMW,2020,8-Series ,"3,0L",30443,Automatic,Petrol
€62.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"2,0L",53061,Automatic,Diesel
€58.000,Lefkosia,Mercedes-Benz,2020,GLE-Class ,"2,0L",42599,Automatic,Diesel
€46.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",23448,Automatic,Diesel
€145.000,Lefkosia,Mercedes-Benz,2021,AMG GT ,"4,0L",8349,Automatic,Petrol
€66.000,Lefkosia,BMW,2022,4-Series ,"2,0L",17,Automatic,Hybrid
€169.000,Lefkosia,Porsche,2022,Cayenne ,"3,0L",10,Automatic,Plug-In
€82.000,Lefkosia,Mercedes-Benz,2022,E-Class ,"2,0L",8,Automatic,Petrol
€48.000,Lefkosia,Mercedes-Benz,2020,GLC-Class ,"2,0L",40114,Automatic,Diesel
€69.000,Lefkosia,Tesla,2022,Model 3 Elec,tric,80,Automatic,Electric
€77.000,Lefkosia,Mercedes-Benz,2022,GLC-Class ,"2,0L",38,Automatic,Diesel
€17.500,Lefkosia,KIA,2018,Sportage ,"1,7L",107901,Automatic,Diesel
€14.750,Limassol,Honda,2018,Fit ,"1,3L",27500,Automatic,Petrol
€22.950,Limassol,Toyota,2021,Raize ,"1,0L",16000,Automatic,Petrol
